127.0.0.1 - - [12/Jul/2024:13:49:59 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:50:00 +0900] "GET /hotel_prj/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:50:00 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:50:01 +0900] "GET /hotel_prj/static/home/css/ko/pc/common_josunhotel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:50:01 +0900] "GET /hotel_prj/static/home/css/ko/pc/main_josunhotel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:50:01 +0900] "GET /hotel_prj/static/home/js/ko/pc/pubCommon_contents.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:50:01 +0900] "GET /hotel_prj/user/index.do HTTP/1.1" 200 33998
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:50:01 +0900] "GET /hotel_prj/static/home/js/home.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:50:01 +0900] "GET /hotel_prj/static/home/images/ko/pc/HUMA/bg_main01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:50:01 +0900] "GET /hotel_prj/util/event_img/%EC%84%AC%EB%84%A4%EC%9D%BCPC3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:50:01 +0900] "GET /hotel_prj/util/event_img/%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:50:01 +0900] "GET /hotel_prj/util/event_img/________________1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:50:01 +0900] "GET /hotel_prj/util/event_img/%EC%84%AC%EB%84%A4%EC%9D%BCPC.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:50:01 +0900] "GET /hotel_prj/util/event_img/download.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:50:01 +0900] "GET /hotel_prj/util/event_img/%EB%AA%A8%EC%97%A3%EC%83%B9%EB%8F%99.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:50:01 +0900] "GET /hotel_prj/static/home/images/ko/pc/HUMA/bg_main01_01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:50:01 +0900] "GET /hotel_prj/static/home/images/ko/pc/HUMA/bg_main01_02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:50:01 +0900] "GET /hotel_prj/static/home/images/ko/pc/HUMA/bg_main03_03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:50:01 +0900] "GET /hotel_prj/static/home/images/ko/pc/common/bg_logo_footer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:50:01 +0900] "GET /hotel_prj/static/home/images/ko/pc/HUMA/flower.jpg HTTP/1.1" 200 220086
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:50:01 +0900] "GET /hotel_prj/static/home/images/ko/pc/common/ico_sns_github.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:50:16 +0900] "GET /hotel_prj/static/home/images/ko/pc/common/btn_close_white_25x25.png HTTP/1.1" 404 1427
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:50:25 +0900] "GET /hotel_prj/user/index.do HTTP/1.1" 200 33998
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:50:30 +0900] "GET /hotel_prj/static/home/js/ko/pc/swiper-bundle.min.js.map HTTP/1.1" 404 1427
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:50:40 +0900] "POST /hotel_prj/user/room1.do HTTP/1.1" 200 62034
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:50:40 +0900] "GET /hotel_prj/static/home/css/ko/pc/contents.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:50:40 +0900] "GET /hotel_prj/static/home/images/ko/pc/common/bg_logo_header.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:50:40 +0900] "GET /hotel_prj/static/home/js/ko/pc/swiper-bundle.min.js.map HTTP/1.1" 404 1427
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:50:40 +0900] "GET /hotel_prj/static/home/images/ko/pc/common/ico_toggle_w_18x10.png HTTP/1.1" 404 1427
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:50:55 +0900] "GET /hotel_prj/user/roomResList.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:50:55 +0900] "GET /hotel_prj/user/login.do HTTP/1.1" 200 22595
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:50:55 +0900] "GET /hotel_prj/static/home/js/ko/pc/swiper-bundle.min.js.map HTTP/1.1" 404 1427
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:51:55 +0900] "GET /hotel_prj/user/roomResList.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:51:55 +0900] "GET /hotel_prj/user/login.do HTTP/1.1" 200 22595
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:51:55 +0900] "GET /hotel_prj/static/home/js/ko/pc/swiper-bundle.min.js.map HTTP/1.1" 404 1427
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:52:02 +0900] "GET /hotel_prj/user/roomResList.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:52:02 +0900] "GET /hotel_prj/user/login.do HTTP/1.1" 200 22595
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:52:02 +0900] "GET /hotel_prj/static/home/js/ko/pc/swiper-bundle.min.js.map HTTP/1.1" 404 1427
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:52:04 +0900] "POST /hotel_prj/user/set_session.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:52:04 +0900] "GET /hotel_prj/user/roomResList.do HTTP/1.1" 200 16547
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:52:04 +0900] "GET /hotel_prj/static/home/js/ko/pc/swiper-bundle.min.js.map HTTP/1.1" 404 1427
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:52:04 +0900] "GET /hotel_prj/static/home/images/ko/pc/common/spr_form.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:52:04 +0900] "POST /hotel_prj/user/mypage/lnbInfoApi.do HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:52:17 +0900] "GET /hotel_prj/user/diningResList.do HTTP/1.1" 200 18911
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:52:17 +0900] "GET /hotel_prj/static/home/js/ko/pc/swiper-bundle.min.js.map HTTP/1.1" 404 1427
